,AINotIntelligent,AINoPattern,AIUserDependent,FocusedOwnMovement,Vague,AICoop,AIAgainstHuman
0,4795976174990672076 - WhiteD,-344401030917728905 - WhiteD,-9136040003670018524 - WhiteD,-5531091680069440229 - BlackD,-8860211482442200578 - BlackD,532506247612991002 - BlackD,-5940277315787684179 - BlackD
1,-7360891631161509044 - WhiteD,-8909583014250135893 - WhiteD,6139097938485563189 - BlackD,1415588365748512177 - BlackD,5682123907264490755 - WhiteD,730741136424092653 - BlackD,1684663374739076474 - BlackD
2,3946622654418977376 - WhiteD,5770862165133332338 - BlackD,-1136782101405251795 - BlackD,8728164061923109205 - WhiteD,1230794460288914728 - BlackD,-6856719322640368285 - BlackD,-5940277315787684179 - BlackD
3,1445125403949060040 - WhiteD,-2077143675527929838 - WhiteD,-4689651953129259785 - WhiteD,5232657430745428372 - WhiteD,-4858063778418812212 - WhiteD,4449026039270980902 - BlackD,-7360891631161509044 - WhiteD
4,7404975258814390654 - WhiteD,-3100095168028895495 - WhiteD,696290830808923741 - BlackD,6674707624688814844 - BlackD,6016484358413417624 - WhiteD,-4136755203598427464 - BlackD,-7724361631819458179 - WhiteD
5,9069206147409744331 - BlackD,-5935403046903308119 - WhiteD,-3711484870105578347 - WhiteD,-7275579291024857338 - WhiteD,2985363781063495668 - BlackD,3092938485970539233 - BlackD,-7432902986163876090 - WhiteD
6,-7628930625160156117 - BlackD,7469619530133186593 - BlackD,-80244576858593169 - WhiteD,8320414034597066831 - BlackD,8743669478030302216 - WhiteD,6884117395202757782 - WhiteD,-4268801607658436153 - WhiteD
7,34680606267398769 - WhiteD,-1871847316272391102 - WhiteD,-5873275266515018993 - BlackD,-3498200686667836687 - WhiteD,5506314457608461899 - WhiteD,-4126141268560693005 - BlackD,7904670390570549921 - BlackD
8,6738279518618862458 - WhiteD,2732773094829176897 - BlackD,-1596305406506593234 - WhiteD,2065806581597351595 - BlackD,4902360523281789497 - WhiteD,46920308585648504 - BlackD,
9,-5209988161511399686 - BlackD,-6256197754158169206 - WhiteD,6642181946693403784 - WhiteD,-8871991887949981697 - WhiteD,-2984933467881926076 - BlackD,4339984189044188545 - BlackD,
10,-2745315652686823834 - BlackD,425274425314276481 - BlackD,-674534404092235592 - WhiteD,-8358064263098078288 - BlackD,-1237166355527135597 - WhiteD,-2827646557650612899 - BlackD,
11,-7170118683539087292 - BlackD,173428432650115085 - WhiteD,7235796441556344604 - BlackD,-5063323908659556816 - WhiteD,-7200643077549278753 - BlackD,2671970035278283846 - BlackD,
12,1313582599057776474 - WhiteD,5882698581924013066 - BlackD,-5826728210113202384 - BlackD,,6403861466243958297 - WhiteD,8455077734297187671 - BlackD,
13,,-2502577975618364210 - WhiteD,-4479200253178106840 - BlackD,,5635759056900961575 - BlackD,-9131678829577446967 - BlackD,
14,,8410456685102432735 - WhiteD,-714767997394096689 - WhiteD,,-4056144754562821738 - BlackD,8978378373494850656 - WhiteD,
15,,-4094070563870831815 - WhiteD,2687888415486167175 - BlackD,,,-9207467567913301880 - WhiteD,
16,,6766794558901924602 - BlackD,1795895424740942278 - BlackD,,,-4981757060371792103 - WhiteD,
17,,-3814178529381918102 - WhiteD,6436945845065964660 - WhiteD,,,1779285956429628603 -WhiteD,
18,,,9221141871288748992 - BlackD,,,-2271768410912827781 - BlackD,
19,,,4234673557823880377 - WhiteD,,,8311867380078682419 - BlackD,
20,,,4344194822538276809 - WhiteD,,,-9163235133347769368 - BlackD,
21,,,7373240486196016297 - WhiteD,,,1588653561155848925 - BlackD,
22,,,8159446339286334226 - WhiteD,,,499872035780511400 - BlackD,
23,,,6499244092546131468 - BlackD,,,2625633572503847031 - BlackD,
24,,,-8970615271282925974 - WhiteD,,,1122510502118101650 - BlackD,
25,,,3530388812865085543 - WhiteD,,,7652368220313716691 - BlackD,
26,,,5220802617719062910 - WhiteD,,,2748133865518687586 - BlackD,
27,,,4347235484710998913 - BlackD,,,-5834061104099148615 -WhiteD,
28,,,4848033573705993170 - BlackD,,,3955472939912595959 - WhiteD,
29,,,-5617598393688659643 - BlackD,,,4361160622902748680 - WhiteD,
30,,,6601929196682851552 - WhiteD,,,8257647152049272229 - BlackD,
31,,,398325407988315812 - BlackD,,,7070920952341265736 - BlackD,
32,,,319604693904163315 - BlackD,,,-730985347689514078 - WhiteD,
33,,,-8386546289267273749 - BlackD,,,-8038997128633039089 - WhiteD,
34,,,6945183529981758788 - WhiteD,,,-330992880832354393 - BlackD,
35,,,8223266803575980625 - BlackD,,,5611479849424689291 - BlackD,
36,,,-51312624647949929 - BlackD,,,1639563977852041758 - BlackD,
37,,,-6106836240823469137 - BlackD,,,-5989491781386666894 - BlackD,
38,,,6654051069813398614 - BlackD,,,1975420231581261633 - BlackD,
39,,,-1002540042622735828 - WhiteD,,,-4538983132427652694 - WhiteD,
40,,,-7176300548843044084 - WhiteD,,,-3607970477880893007 - WhiteD,
41,,,1401547502223044709 - BlackD,,,-1893442574883771903 - WhiteD ,
42,,,-1231302266464266619 - BlackD,,,7844385829867759862 - BlackD,
43,,,8901114773366199531 - WhiteD,,,-8096299511937869573 - BlackD,
44,,,-1903136559479930297 - WhiteD,,,8370418991045883329 - BlackD,
45,,,-3593001437424691110 - WhiteD,,,-2680638202895052002 - BlackD,
46,,,3372500926627953740 - WhiteD,,,-1484136029327123945 - BlackD,
47,,,2832209303704382753 - WhiteD,,,-3708448554681285781 - WhiteD,
48,,,2353227369599685235 - BlackD,,,9136153249781981075 - WhiteD,
49,,,,,,-1211048964689083295 - WhiteD,
50,,,,,,8508855211361453385 - BlackD,
51,,,,,,-8983045963712263496 - BlackD,
52,,,,,,-9078698394974776475 - WhiteD,
53,,,,,,-1569290005744262758 - BlackD,
54,,,,,,-8970632367962800611 - WhiteD,
55,,,,,,214299435983170815 - WhiteD,
56,,,,,,6671671648182667281 - WhiteD,
57,,,,,,4627301664659343985 - BlackD,
58,,,,,,1286861775569122683 - BlackD,
59,,,,,,3301091061582238872 - WhiteD,
60,,,,,,4763164310677157067 - WhiteD,
61,,,,,,7728411175282234752 - WhiteD,
62,,,,,,-5120961447638650874 - WhiteD,
63,,,,,,8280671826672236635 - WhiteD,
64,,,,,,9039454446465290723 - BlackD,
